Time;latitude;longitude;extT;rh;pluv;radN;wdir_ana;wsp_ana
07-Jul-2024 00:00:00;377.716.407.775.879;147.626.953.125;19.4;67.3;0;0;179.133;1.05
07-Jul-2024 01:00:00;377.716.407.775.879;147.626.953.125;19.55;66.55;0;0;127.89;0.885
07-Jul-2024 02:00:00;377.716.407.775.879;147.626.953.125;19.4;68;0;0.001;189.834;1.025
07-Jul-2024 03:00:00;377.716.407.775.879;147.626.953.125;19.6;67.2;0;0.406;1.894.425;0.93
07-Jul-2024 04:00:00;377.716.407.775.879;147.626.953.125;20.15;66.55;0;393.835;2.152.815;0.965
07-Jul-2024 05:00:00;377.716.407.775.879;147.626.953.125;23.45;57.6;0;1.974.675;60.378;0.51
07-Jul-2024 06:00:00;377.716.407.775.879;147.626.953.125;26.85;47.65;0;4.146.365;1.341.975;0.425
07-Jul-2024 07:00:00;377.716.407.775.879;147.626.953.125;28.5;43.3;0;6.361.365;936.555;0.585
07-Jul-2024 08:00:00;377.716.407.775.879;147.626.953.125;30.05;38.8;0;8.258.735;1.151.445;1.36
07-Jul-2024 09:00:00;377.716.407.775.879;147.626.953.125;31.45;33.8;0;971.833;1.770.015;1.545
07-Jul-2024 10:00:00;377.716.407.775.879;147.626.953.125;32.95;31.8;0;974.085;853.905;0.805
07-Jul-2024 11:00:00;377.716.407.775.879;147.626.953.125;33.75;29.4;0;1.102.897;132.849;0.99
07-Jul-2024 12:00:00;377.716.407.775.879;147.626.953.125;34.35;27.65;0;9.337.215;954.825;0.44
07-Jul-2024 13:00:00;377.716.407.775.879;147.626.953.125;35.75;26.45;0;994.865;136.59;1.12
07-Jul-2024 14:00:00;377.716.407.775.879;147.626.953.125;34.55;31.4;0;6.656.055;121.539;0.86
07-Jul-2024 15:00:00;377.716.407.775.879;147.626.953.125;34.1;32.3;0;522.162;786.915;1.02
07-Jul-2024 16:00:00;377.716.407.775.879;147.626.953.125;31.85;35.6;0;4.066.865;1.475.955;1.305
07-Jul-2024 17:00:00;377.716.407.775.879;147.626.953.125;29.95;38.05;0;1.598.935;144.42;1.02
07-Jul-2024 18:00:00;377.716.407.775.879;147.626.953.125;27.15;42.75;0;142.155;104.4;0.7
07-Jul-2024 19:00:00;377.716.407.775.879;147.626.953.125;24.25;49.1;0;0.0055;143.637;1.03
07-Jul-2024 20:00:00;377.716.407.775.879;147.626.953.125;22.9;52.65;0;0;2.516.475;1.01
07-Jul-2024 21:00:00;377.716.407.775.879;147.626.953.125;22.75;53;0;0;1.093.155;0.645
07-Jul-2024 22:00:00;377.716.407.775.879;147.626.953.125;23.15;53.1;0;0;97.788;1.395
07-Jul-2024 23:00:00;377.716.407.775.879;147.626.953.125;23.95;52.3;0;0;48.633;0.87
08-Jul-2024 00:00:00;377.716.407.775.879;147.626.953.125;23.2;54.45;0;0;745.155;1.26
08-Jul-2024 01:00:00;377.716.407.775.879;147.626.953.125;22.65;56.55;0;0;281.01;1.32
08-Jul-2024 02:00:00;377.716.407.775.879;147.626.953.125;22.95;54.6;0;0;2.192.835;1.325
08-Jul-2024 03:00:00;377.716.407.775.879;147.626.953.125;23.15;51.9;0;0.6485;1.514.235;1.655
08-Jul-2024 04:00:00;377.716.407.775.879;147.626.953.125;24.4;50.15;0;44.779;82.824;0.94
08-Jul-2024 05:00:00;377.716.407.775.879;147.626.953.125;29.1;40.05;0;246.334;48.72;0.685
08-Jul-2024 06:00:00;377.716.407.775.879;147.626.953.125;32.3;35.1;0;460.028;74.733;0.38
08-Jul-2024 07:00:00;377.716.407.775.879;147.626.953.125;33.95;32.95;0;6.651.425;1.159.275;0.685
08-Jul-2024 08:00:00;377.716.407.775.879;147.626.953.125;33.6;35.1;0;828.303;1.315.005;1.13
08-Jul-2024 09:00:00;377.716.407.775.879;147.626.953.125;34.85;31.15;0;9.720.275;1.310.655;1.31
